Rank,Team/NOC,Gold,Silver,Bronze,Rank by Total
1,United States of America,39,41,33,1
2,People's Republic of China,38,32,18,2
3,Japan,27,14,17,5
4,Great Britain,22,21,22,4
5,ROC,20,28,23,3
6,Australia,17,7,22,6
7,Netherlands,10,12,14,9
8,France,10,12,11,10
9,Germany,10,11,16,8
10,Italy,10,10,20,7
11,Canada,7,6,11,11
12,Brazil,7,6,8,12
13,New Zealand,7,6,7,13
14,Cuba,7,3,5,18
15,Hungary,6,7,7,13
16,Republic of Korea,6,4,10,13
17,Poland,4,5,5,19
18,Czech Republic,4,4,3,23
19,Kenya,4,4,2,25
20,Norway,4,2,2,29
21,Jamaica,4,1,4,26
22,Spain,3,8,6,17
23,Sweden,3,6,0,26
24,Switzerland,3,4,6,20
25,Denmark,3,4,4,23
26,Croatia,3,3,2,29
27,Islamic Republic of Iran,3,2,2,33
28,Serbia,3,1,5,26
29,Belgium,3,1,3,33
30,Bulgaria,3,1,2,39
31,Slovenia,3,1,1,42
32,Uzbekistan,3,0,2,42
33,Georgia,2,5,1,29
34,Chinese Taipei,2,4,6,22
35,Turkey,2,2,9,20
36,Greece,2,1,1,47
36,Uganda,2,1,1,47
38,Ecuador,2,1,0,60
39,Ireland,2,0,2,47
39,Israel,2,0,2,47
41,Qatar,2,0,1,60
42,Bahamas,2,0,0,66
42,Kosovo,2,0,0,66
44,Ukraine,1,6,12,16
45,Belarus,1,3,3,33
46,Romania,1,3,0,47
46,Venezuela,1,3,0,47
48,India,1,2,4,33
49,"Hong Kong, China",1,2,3,39
50,Philippines,1,2,1,47
50,Slovakia,1,2,1,47
52,South Africa,1,2,0,60
53,Austria,1,1,5,33
54,Egypt,1,1,4,39
55,Indonesia,1,1,3,42
56,Ethiopia,1,1,2,47
56,Portugal,1,1,2,47
58,Tunisia,1,1,0,66
59,Estonia,1,0,1,66
59,Fiji,1,0,1,66
59,Latvia,1,0,1,66
59,Thailand,1,0,1,66
63,Bermuda,1,0,0,77
63,Morocco,1,0,0,77
63,Puerto Rico,1,0,0,77
66,Colombia,0,4,1,42
67,Azerbaijan,0,3,4,33
68,Dominican Republic,0,3,2,42
69,Armenia,0,2,2,47
70,Kyrgyzstan,0,2,1,60
71,Mongolia,0,1,3,47
72,Argentina,0,1,2,60
72,San Marino,0,1,2,60
74,Jordan,0,1,1,66
74,Malaysia,0,1,1,66
74,Nigeria,0,1,1,66
77,Bahrain,0,1,0,77
77,Saudi Arabia,0,1,0,77
77,Lithuania,0,1,0,77
77,North Macedonia,0,1,0,77
77,Namibia,0,1,0,77
77,Turkmenistan,0,1,0,77
83,Kazakhstan,0,0,8,29
84,Mexico,0,0,4,47
85,Finland,0,0,2,66
86,Botswana,0,0,1,77
86,Burkina Faso,0,0,1,77
86,Côte d'Ivoire,0,0,1,77
86,Ghana,0,0,1,77
86,Grenada,0,0,1,77
86,Kuwait,0,0,1,77
86,Republic of Moldova,0,0,1,77
86,Syrian Arab Republic,0,0,1,77
